Number,Package Name,Version,Description,Category
1,absl-py,1.4.0,"Abseil Python Common Libraries, developed by Google, are a collection of Python library code for building Python applications.",Cross-platform
2,affine,2.4.0,A library for handling 2D affine transformations of the plane.,Math & Statistics
3,aiohttp,3.8.1,A Python library for making HTTP requests in an asynchronous way using Python's asyncio library.,Web Development
4,aiosignal,1.3.1,A helper library for sending signals and waiting for them in an asynchronous context.,Asynchronous Programming
5,analytics-python,1.4.post1,"A Python client for Segment, a platform that collects, stores, and routes your user event data to hundreds of tools.",Data Processing and Analysis
6,anyio,3.7.1,"An asynchronous networking and concurrency library that works on top of asyncio and other event loops, or even without an event loop at all.",Asynchronous Programming
7,anytree,2.8.0,"A library for working with trees in Python. It provides classes and functions for creating, traversing, and manipulating tree structures.",Data Science & ML
8,argcomplete,1.10.3,"A library for bash tab completion for argparse, a Python standard library module for parsing command line arguments.",Command Line Interfaces
9,argon2-cffi-bindings,21.2.0,These are Python bindings for the Argon2 password hashing algorithm.,Cryptography & Security
10,argon2-cffi,21.3.0,A library that provides a high level API for the Argon2 password hashing algorithm.,Cryptography & Security
11,arviz,0.15.1,"A library for exploratory analysis of Bayesian models that includes functions for posterior analysis, model checking, comparison and diagnostics.",Data Science & ML
12,asttokens,2.2.1,A library that associates Python's abstract syntax trees (ASTs) with source code.,Text Processing & NLP
13,async-timeout,4.0.2,"A timeout context manager for use with asyncio, Python's library for writing single-threaded concurrent code using coroutines.",Asynchronous Programming
14,attrs,23.1.0,"A library that provides classes without boilerplate. It allows you to write classes with attributes, and it automatically adds special methods like __init__ and __repr__.",Data Science & ML
15,audioread,3.0.0,A library for audio file decoding.,Audio & Video Processing
16,babel,2.12.1,"A library for internationalizing Python applications. It provides tools for working with dates and times in different locales, managing translations, and more.",Text Processing & NLP
17,backcall,0.2.0,Specifications for callback functions passed in to an API.,Asynchronous Programming
18,backoff,1.10.0,A Python library providing function decorators for configurable backoff and retry.,Asynchronous Programming
19,backports.zoneinfo,0.2.1,A backport of the standard library's zoneinfo module for older Python versions.,Date & Time
20,basemap-data,1.3.2,"This package contains data files used by the basemap toolkit. basemap itself is a graphic library for creating static, animated, and interactive visualizations in Python.",Geographical & Geo-spatial
21,basemap,1.3.2,"A graphical library for creating static, animated, and interactive visualizations in Python, particularly for rendering geographical plots.",Data Visualization
22,bcrypt,4.0.1,A library for securely hashing passwords using the Blowfish cipher.,Cryptography & Security
23,beautifulsoup4,4.12.2,A library for parsing HTML and XML documents. It is often used for web scraping.,Web Development
24,bleach,6.0.0,An HTML sanitizing library that escapes or strips markup and attributes.,Web Development
25,blinker,1.6.2,"A fast, simple object-to-object and broadcast signaling library.",Asynchronous Programming
26,blis,0.7.9,"A library for high-performance linear algebra and array operations, particularly for use in the `spacy` natural language processing library.",Data Science & ML
27,bokeh,2.4.0,A visualization library for creating interactive plots and dashboards.,Data Visualization
28,branca,0.6.0,"A library for creating interactive maps using Leaflet, particularly used in conjunction with the `folium` library.",Geographical & Geo-spatial
29,brotli,1.0.9,"A library for data compression, implementing the Brotli algorithm.",File Manipulation
30,cachetools,5.3.1,A library providing caching utilities for Python applications.,Data Processing and Analysis
31,cairocffi,1.6.0,"A CFFI-based drop-in replacement for Pycairo, a set of Python bindings for the cairo graphics library.",Image Processing
32,cairosvg,2.5.2,A library for converting SVG to other formats using Cairo.,Image Processing
33,camelot-py,0.10.1,A Python library that makes it easy for anyone to extract tables from PDFs!,File Manipulation
34,catalogue,2.0.8,"A library for creating a catalog of objects, often used in NLP libraries like `spacy` for managing components.",Data Processing and Analysis
35,certifi,2019.11.28,A collection of Root Certificates for validating SSL certificates and verifying HTTPS requests.,Cryptography & Security
36,cffi,1.15.1,Foreign Function Interface for Python calling C code.,Cross-platform
37,chardet,4.0.0,A library for detecting the character encoding of a string.,Unicode & Encoding
